magnitude_rel,distance,magnitude_abs,nom
1.5,553.75,-5.10,Antares
0.75,16.73,2.20,Altair
1.25,1411.93,-6.93,Deneb
0.00,25.04,0.57,Vega
0.15,36.71,-0.11,Arcturus
2.20,75.05,0.39,Alphecca
0.05,42.80,-0.54,Capella
1.95,432.57,-3.66,Polaris
2.05,130.93,-0.97,Kochab
2.30,79.74,0.36,Merak
2.00,123.64,-0.89,Dubhe
2.20,78.16,0.30,Mizar
-1.45,8.6,1.44,Sirius
-0.65,309.15,-5.53,Canopus
1.90,51.55,0.91,Castor
1.15,33.78,1.07,Pollux
