Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Jacob de la Rose,20192020,STL,5,0,0,0,-1,0,5,0
Andrew Ladd,20192020,NYI,1,0,0,0,-1,0,0,--
Pavel Buchnevich,20192020,NYR,3,0,0,0,-1,0,5,0
Justin Holl,20192020,TOR,5,0,0,0,-3,0,6,0
Filip Chytil,20192020,NYR,3,0,0,0,-1,0,5,0
Brendan Smith,20192020,NYR,3,0,0,0,-1,0,3,0
Lucas Carlsson,20192020,CHI,1,0,0,0,-2,0,1,0
Patrick Marleau,20192020,PIT,4,0,0,0,-4,0,2,0
John Quenneville,20192020,CHI,2,0,0,0,-1,0,1,0
Buddy Robinson,20192020,CGY,1,0,0,0,0,0,0,--
Brett Howden,20192020,NYR,3,0,0,0,-3,0,2,0
Robert Bortuzzo,20192020,STL,3,0,0,0,-3,0,1,0
Jordan Kyrou,20192020,STL,5,0,0,0,-1,0,5,0
Ivan Barbashev,20192020,STL,3,0,0,0,0,0,3,0
Steven Fogarty,20192020,NYR,1,0,0,0,0,0,0,--
Jesper Fast,20192020,NYR,1,0,0,0,-1,0,0,--
Marcus Pettersson,20192020,PIT,4,0,0,0,1,0,3,0
Brian Pinho,20192020,WSH,2,0,0,0,-1,0,0,--
Sheldon Dries,20192020,COL,1,0,0,0,0,0,2,0
John Moore,20192020,BOS,1,0,0,0,-1,0,0,--
Frank Vatrano,20192020,FLA,2,0,0,0,-2,0,3,0
Colton Sceviour,20192020,FLA,2,0,0,0,-1,0,1,0
Brendan Lemieux,20192020,NYR,1,0,0,0,0,0,5,0
Mike Matheson,20192020,FLA,2,0,0,0,-2,0,0,--
Frederik Gauthier,20192020,TOR,1,0,0,0,0,0,0,--
Devin Shore,20192020,CBJ,2,0,0,0,-1,0,1,0
Mark Scheifele,20192020,WPG,1,0,0,0,0,0,0,--
Mason Appleton,20192020,WPG,1,0,0,0,1,0,2,0
Ilya Mikheyev,20192020,TOR,5,0,0,0,-1,0,10,0
Patrik Laine,20192020,WPG,1,0,0,0,-1,0,3,0
Charles Hudon,20192020,MTL,2,0,0,0,0,0,0,--
Greg McKegg,20192020,NYR,3,0,0,0,-3,0,1,0
Brady Keeper,20192020,FLA,1,0,0,0,-1,0,0,--
Aleksi Saarela,20192020,FLA,1,0,0,0,0,0,1,0
Jake Muzzin,20192020,TOR,2,0,0,0,0,0,3,0
Martin Fehervary,20192020,WSH,2,0,0,0,0,0,0,--
Matt Bartkowski,20192020,MIN,1,0,0,0,0,0,2,0
Tyson Barrie,20192020,TOR,5,0,0,0,-2,0,7,0
Sam Lafferty,20192020,PIT,1,0,0,0,-1,0,0,--
Caleb Jones,20192020,EDM,2,0,0,0,1,0,2,0
Gaetan Haas,20192020,EDM,1,0,0,0,0,0,4,0
Mark Jankowski,20192020,CGY,5,0,0,0,-1,0,2,0
Jan Rutta,20192020,TBL,1,0,0,0,0,0,1,0
Julien Gauthier,20192020,NYR,3,0,0,0,-1,0,2,0
Par Lindholm,20192020,BOS,6,0,0,0,-2,0,5,0
Phillip Di Giuseppe,20192020,NYR,3,0,0,0,-3,0,2,0
Jack Studnicka,20192020,BOS,5,0,0,0,-1,0,10,0
Alexander Steen,20192020,STL,4,0,0,0,-1,0,0,--
Jeremy Lauzon,20192020,BOS,6,0,0,0,-3,0,3,0
Vladimir Tarasenko,20192020,STL,4,0,0,0,-1,0,10,0
Gabriel Bourque,20192020,WPG,3,0,0,0,-1,0,1,0
Carson Soucy,20192020,MIN,4,0,0,0,-3,0,3,0
Mikko Koivu,20192020,MIN,4,0,0,0,0,0,5,0
Ryan Donato,20192020,MIN,2,0,0,0,1,0,1,0
Nathan Gerbe,20192020,CBJ,2,0,0,0,0,0,2,0
Ross Johnston,20192020,NYI,4,0,0,0,1,0,1,0
Nicholas Shore,20192020,WPG,4,0,0,0,-4,0,5,0
Michael Dal Colle,20192020,NYI,2,0,0,0,0,0,2,0
Scott Harrington,20192020,CBJ,1,0,0,0,-1,0,0,--
Josh Brown,20192020,FLA,2,0,0,0,0,0,0,--
Dryden Hunt,20192020,FLA,2,0,0,0,1,0,1,0
Dominic Toninato,20192020,FLA,3,0,0,0,-3,0,1,0
Aaron Ekblad,20192020,FLA,4,0,0,0,0,0,10,0
Mark Pysyk,20192020,FLA,4,0,0,0,-1,0,8,0
Riley Stillman,20192020,FLA,3,0,0,0,-3,0,1,0
Brett Connolly,20192020,FLA,4,0,0,0,-5,0,2,0
Lucas Wallmark,20192020,FLA,2,0,0,0,-1,0,2,0
Dylan DeMelo,20192020,WPG,4,0,0,0,0,0,6,0
Noel Acciari,20192020,FLA,4,0,0,0,-3,0,4,0
Jordan Staal,20192020,CAR,8,0,0,0,-2,0,9,0
Jordan Weal,20192020,MTL,2,0,0,0,0,0,0,--
Dale Weise,20192020,MTL,5,0,0,0,-1,0,2,0
Nic Dowd,20192020,WSH,8,0,0,0,-4,0,7,0
Nick Jensen,20192020,WSH,8,0,0,0,-1,0,8,0
Garnet Hathaway,20192020,WSH,8,0,0,0,-3,0,5,0
Jakub Vrana,20192020,WSH,8,0,0,0,-7,0,17,0
Zac Rinaldo,20192020,CGY,5,0,0,0,0,0,0,--
Jonas Siegenthaler,20192020,WSH,7,0,0,0,-7,0,3,0
Connor Bunnaman,20192020,PHI,4,0,0,0,-1,0,3,0
Taylor Fedun,20192020,DAL,11,0,0,0,-3,0,15,0
Andrew Cogliano,20192020,DAL,15,0,0,0,-5,0,12,0
Barrett Hayton,20192020,ARI,3,0,0,0,-3,0,2,0
Johnny Boychuk,20192020,NYI,1,0,0,0,0,0,1,0
Joel Hanley,20192020,DAL,3,0,0,0,-1,0,2,0
Alex Goligoski,20192020,ARI,9,0,0,0,-5,0,7,0
Adam Boqvist,20192020,CHI,8,0,0,0,-5,0,7,0
Oskar Lindblom,20192020,PHI,2,0,0,0,-1,0,0,--
Jordie Benn,20192020,VAN,7,0,0,0,1,0,5,0
Alex Nylander,20192020,CHI,8,0,0,0,-4,0,11,0
Logan Shaw,20192020,WPG,3,0,0,0,-1,0,4,0
Cody Eakin,20192020,WPG,4,0,0,0,-4,0,1,0
Craig Smith,20192020,NSH,4,0,0,0,-4,0,13,0
Austin Watson,20192020,NSH,4,0,0,0,0,0,6,0
Stephen Johns,20192020,DAL,4,0,0,0,-4,0,8,0
Thomas Harley,20192020,DAL,1,0,0,0,0,0,0,--
Markus Nutivaara,20192020,CBJ,2,0,0,0,-1,0,1,0
Braydon Coburn,20192020,TBL,3,0,0,0,1,0,1,0
Conor Timmins,20192020,COL,2,0,0,0,1,0,0,--
Zack MacEwen,20192020,VAN,6,0,0,0,1,0,7,0
Pierre Engvall,20192020,TOR,4,0,0,0,0,0,10,0
Martin Marincin,20192020,TOR,3,0,0,0,-2,0,5,0
Andreas Johnsson,20192020,TOR,1,0,0,0,0,0,2,0
Jason Spezza,20192020,TOR,5,0,0,0,0,0,7,0
Oscar Fantenberg,20192020,VAN,16,0,0,0,-3,0,15,0
Adam Gaudette,20192020,VAN,10,0,0,0,-1,0,4,0
Micheal Ferland,20192020,VAN,2,0,0,0,0,0,0,--
Kyle Clifford,20192020,TOR,5,0,0,0,0,0,4,0
Tyler Myers,20192020,VAN,10,0,0,0,-5,0,14,0
Kris Letang,20192020,PIT,4,0,0,0,-2,0,12,0
Anton Stralman,20192020,FLA,4,0,0,0,-5,0,4,0
Jujhar Khaira,20192020,EDM,4,0,0,0,0,0,7,0
Adam Larsson,20192020,EDM,2,0,0,0,-1,0,0,--
Andreas Athanasiou,20192020,EDM,4,0,0,0,-2,0,7,0
Brad Hunt,20192020,MIN,4,0,0,0,-1,0,7,0
Riley Sheahan,20192020,EDM,4,0,0,0,-1,0,1,0
Alex Galchenyuk,20192020,MIN,4,0,0,0,-2,0,4,0
Kailer Yamamoto,20192020,EDM,4,0,0,0,-1,0,4,0
Ryan Hartman,20192020,MIN,4,0,0,0,0,0,6,0
Emil Bemstrom,20192020,CBJ,5,0,0,0,-1,0,4,0
Ethan Bear,20192020,EDM,4,0,0,0,-4,0,3,0
Kris Russell,20192020,EDM,4,0,0,0,-1,0,7,0
Mathieu Perreault,20192020,WPG,4,0,0,0,-3,0,2,0
Zack Kassian,20192020,EDM,4,0,0,0,-4,0,5,0
Jarred Tinordi,20192020,NSH,4,0,0,0,-2,0,3,0
Kyle Turris,20192020,NSH,4,0,0,0,-4,0,6,0
Jordan Greenway,20192020,MIN,4,0,0,0,-1,0,6,0
Dante Fabbro,20192020,NSH,4,0,0,0,-1,0,2,0
Yannick Weber,20192020,NSH,4,0,0,0,-2,0,3,0
Tucker Poolman,20192020,WPG,4,0,0,0,0,0,2,0
