Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Alec Martinez,20192020,VGK,17,1,6,7,12,0.41,32,3.1
Jonathan Drouin,20192020,MTL,10,1,6,7,3,0.7,16,6.3
Travis Konecny,20192020,PHI,16,0,7,7,3,0.44,29,0
Alexander Edler,20192020,VAN,17,0,7,7,5,0.41,38,0
Mikael Backlund,20192020,CGY,10,4,2,6,-2,0.6,27,14.8
Leon Draisaitl,20192020,EDM,4,3,3,6,1,1.5,13,23.1
Joonas Donskoi,20192020,COL,9,3,3,6,1,0.67,9,33.3
Olli Maatta,20192020,CHI,9,3,3,6,7,0.67,10,30
Nick Leddy,20192020,NYI,18,3,3,6,9,0.33,22,13.6
Tyler Johnson,20192020,TBL,15,3,3,6,-5,0.4,28,10.7
Jamie Oleksiak,20192020,DAL,18,3,3,6,5,0.33,34,8.8
Auston Matthews,20192020,TOR,5,2,4,6,1,1.2,27,7.4
Nick Foligno,20192020,CBJ,10,2,4,6,1,0.6,19,10.5
Corey Perry,20192020,DAL,18,2,4,6,-4,0.33,35,5.7
Elias Lindholm,20192020,CGY,10,2,4,6,1,0.6,18,11.1
Alex DeBrincat,20192020,CHI,9,2,4,6,4,0.67,27,7.4
Taylor Hall,20192020,ARI,9,2,4,6,-4,0.67,19,10.5
Brandon Sutter,20192020,VAN,17,1,5,6,-2,0.35,19,5.3
Milan Lucic,20192020,CGY,10,1,5,6,2,0.6,14,7.1
Alex Pietrangelo,20192020,STL,9,1,5,6,0,0.67,33,3
Kirby Dach,20192020,CHI,9,1,5,6,3,0.67,16,6.3
John Carlson,20192020,WSH,5,0,6,6,-11,1.2,11,0
Torey Krug,20192020,BOS,13,0,6,6,-6,0.46,32,0
Matt Martin,20192020,NYI,18,5,0,5,1,0.28,22,22.7
Vladislav Namestnikov,20192020,COL,12,4,1,5,1,0.42,17,23.5
Alex Ovechkin,20192020,WSH,8,4,1,5,-1,0.63,30,13.3
Tyler Motte,20192020,VAN,17,4,1,5,0,0.29,29,13.8
Michael Raffl,20192020,PHI,9,4,1,5,5,0.56,14,28.6
Dillon Dube,20192020,CGY,10,4,1,5,1,0.5,30,13.3
Mike Hoffman,20192020,FLA,4,3,2,5,-1,1.25,8,37.5
Filip Forsberg,20192020,NSH,4,3,2,5,1,1.25,23,13
Shea Weber,20192020,MTL,10,3,2,5,3,0.5,27,11.1
Joel Armia,20192020,MTL,10,3,2,5,5,0.5,27,11.1
Teuvo Teravainen,20192020,CAR,8,3,2,5,6,0.63,14,21.4
Alexander Wennberg,20192020,CBJ,10,3,2,5,5,0.5,11,27.3
Joel Farabee,20192020,PHI,12,3,2,5,-2,0.42,19,15.8
Rasmus Andersson,20192020,CGY,10,3,2,5,4,0.5,15,20
Evgeny Kuznetsov,20192020,WSH,8,3,2,5,-4,0.63,20,15
Tobias Rieder,20192020,CGY,10,3,2,5,-2,0.5,12,25
Nikita Zadorov,20192020,COL,15,3,2,5,5,0.33,16,18.8
Charlie Coyle,20192020,BOS,13,3,2,5,-4,0.38,31,9.7
Andrew Mangiapane,20192020,CGY,10,2,3,5,-2,0.5,12,16.7
Anthony Cirelli,20192020,TBL,15,2,3,5,-2,0.33,19,10.5
Blake Comeau,20192020,DAL,18,2,3,5,-3,0.28,21,9.5
Brayden Schenn,20192020,STL,9,2,3,5,-2,0.56,23,8.7
Brandon Saad,20192020,CHI,9,2,3,5,2,0.56,20,10
